Total Bytes Allocated,Unprintable Strings,Write,Playerproperty,Uploadlogs,createnewfoldername,url,Type,Label
0,0,Not called,Not called,Not called,Not called,Not called,Not called,Benign
0,0,Not called,Not called,Not called,Not called,Not called,Not called,Benign
32778,0,Not called,Not called,Not called,Not called,Not called,Not called,Benign
1288,0,Not called,Not called,Not called,Not called,Not called,Not called,Benign
0,0,Not called,Not called,Not called,Not called,Not called,Not called,Benign
7566,0,Not called,Not called,Not called,Not called,Not called,Not called,Benign
0,0,Not called,Not called,Not called,Not called,Not called,Not called,Benign
0,0,Not called,Not called,Not called,Not called,Not called,Not called,Benign
0,0,Not called,Not called,Not called,Not called,Not called,Not called,Benign
0,0,Not called,Not called,Not called,Not called,Not called,Not called,Benign
0,0,Not called,Not called,Not called,Not called,Not called,Not called,Benign
0,0,Not called,Not called,Not called,Not called,Not called,Not called,Benign
5444,0,Not called,Not called,Not called,Not called,Not called,Not called,Benign
2954,0,Not called,Not called,Not called,Not called,Not called,Not called,Benign
0,0,Not called,Not called,Not called,Not called,Not called,Not called,Benign
76,0,Not called,Not called,Not called,Not called,Not called,Not called,Benign
0,0,Not called,Not called,Not called,Not called,Not called,Not called,Benign
156,0,Not called,Not called,Not called,Not called,Not called,Not called,Benign
8378,0,Not called,Not called,Not called,Not called,Not called,Not called,Benign
0,0,Not called,Not called,Not called,Not called,Not called,Not called,Benign
138,0,Not called,Not called,Not called,Not called,Not called,Not called,Benign
999068,0,Printable String,Not called,Not called,Not called,Not called,Printable String,Malware
416380424,20298,Not called,Printable String,Not called,Not called,Not called,Not called,Malware
28018241,0,Not called,Printable String,Not called,Not called,Not called,Not called,Malware
425521275,13,Any object,Not called,Not called,Not called,Not called,Printable String,Malware
289121940,0,Printable String,Not called,Not called,Not called,Not called,Printable String,Malware
7523546,3368,Not called,Not called,Not called,Not called,Not called,Not called,Malware
15407034,5040,Not called,Not called,Not called,Not called,Not called,Not called,Malware
244140014,21584,Printable String,Not called,Not called,Not called,Not called,Printable String,Malware
41982198,8652,Not called,Not called,Not called,Not called,Not called,Not called,Malware
230764736,32,Not called,Not called,Not called,Not called,Not called,Not called,Malware
1998,0,Printable String,Not called,Not called,Not called,Not called,Printable String,Malware
154,0,Printable String,Not called,Not called,Not called,Not called,Printable String,Malware
4977258,2644,Not called,Not called,Not called,Not called,Not called,Not called,Malware
805550,0,Printable String,Not called,Not called,Not called,Not called,Printable String,Malware
789550,0,Printable String,Not called,Not called,Not called,Not called,Printable String,Malware
0,0,Not called,Not called,Not called,Not called,Not called,Not called,Malware
216967506,20318,Printable String,Not called,Not called,Not called,Not called,Printable String,Malware
0,0,Not called,Not called,Not called,Not called,Not called,Not called,Malware
15407034,5040,Not called,Not called,Not called,Not called,Not called,Not called,Malware
238272858,21320,Not called,Not called,Not called,Not called,Not called,Not called,Malware
667533384,30130,Printable String,Printable String,Not called,Not called,Not called,Printable String,Malware
28018241,0,Not called,Printable String,Not called,Not called,Not called,Not called,Malware
425521275,13,Any object,Not called,Not called,Not called,Not called,Printable String,Malware
230987688,0,Printable String,Not called,Not called,Not called,Not called,Printable String,Malware
418778026,20414,Not called,Printable String,Not called,Not called,Not called,Not called,Malware
498952936,31080,Not called,Not called,Not called,Not called,Not called,Not called,Malware
168741400,1936,Not called,Not called,Not called,Not called,Not called,Not called,Malware
416380424,20298,Not called,Printable String,Not called,Not called,Not called,Not called,Malware
7523546,3368,Not called,Not called,Not called,Not called,Not called,Not called,Malware
